Category,Item Name,Description,Price,Badge
Appetizers,Truffle Burrata,"Creamy burrata, black truffle, arugula, aged balsamic drizzle",22,Chef's Pick
Appetizers,Wagyu Beef Tartare,"Hand-cut wagyu, quail egg, capers, cornichons, crostini",28,Premium
Appetizers,Crispy Calamari,"Lightly battered, served with marinara and lemon aioli",16,
Appetizers,Soup of the Day,"Chef's daily creation, served with artisan bread",12,
Sushi & Sashimi,Chef's Omakase,"A curated selection of the freshest seasonal fish",65,Chef's Pick
Sushi & Sashimi,Dragon Roll,"Shrimp tempura, eel, avocado, spicy mayo, tobiko",22,Popular
Sushi & Sashimi,Salmon Sashimi,8 pieces of premium Norwegian salmon,26,
Sushi & Sashimi,Spicy Tuna Roll,"Fresh tuna, spicy mayo, cucumber, sesame seeds",18,
Sushi & Sashimi,Rainbow Roll,California roll topped with assorted sashimi,24,
Prime Steaks,Prime Ribeye,"16oz aged ribeye, herb butter, roasted garlic, seasonal vegetables",58,Premium
Prime Steaks,Filet Mignon,"8oz center-cut tenderloin, red wine reduction, truffle mash",52,Popular
Prime Steaks,NY Strip,"14oz bone-in strip, peppercorn sauce, crispy onion rings",48,
Prime Steaks,Bone Marrow Steak,"12oz tomahawk, roasted bone marrow, chimichurri",62,Chef's Pick
Burgers & Grills,The Classic Oak,"Prime beef patty, aged cheddar, lettuce, tomato, Oak & Bar sauce",18,Popular
Burgers & Grills,Wagyu Smash Burger,"Double wagyu patties, American cheese, caramelized onions, pickles",24,Premium
Burgers & Grills,Truffle Mushroom Burger,"Beef patty, swiss cheese, sautéed mushrooms, truffle aioli",22,
Burgers & Grills,BBQ Bacon Burger,"Beef patty, smoked bacon, cheddar, crispy onions, house BBQ sauce",20,
Craft Beverages,Local IPA,"Hoppy and citrus-forward, from our local craft brewery",8,
Craft Beverages,Belgian Wheat,"Light and refreshing with hints of orange and coriander",9,
Craft Beverages,Stout,"Rich and creamy with coffee and chocolate notes",9,
